timestamp,average,median,max,std,kurtosis
2022-12-14 16:36:53,-61.52013487130262,-62.07971306311233,-48.271438591238656,5.460362710446963,1.0051079496028648
2022-12-14 16:40:23,-61.52268964801898,-62.083277458783385,-48.945220005600056,5.460182754856868,1.0038654533038789
2022-12-14 16:52:03,-61.52533902594696,-62.077767020936435,-48.82004609379802,5.461607502173114,0.9970752414032592
2022-12-14 12:10:53,-15.936365122484963,-15.969219917918597,-13.961874822723757,1.6353537742574475,0.10618881906256782
2022-12-14 13:18:33,-48.35523617997967,-49.16402228088772,-14.455322721734472,5.687653026608069,76.84542396849154
2022-12-14 23:35:17,-40.95941932944883,-44.92580348632607,-17.51480862435836,9.276582705439566,10.266143950253172
2022-12-15 00:32:58,-42.058300120471934,-44.21111519053853,-13.961874822723757,6.450748510498012,58.15539758210047
2022-12-14 18:18:23,-44.17152664270209,-45.54984776485035,-14.99520083932965,7.951247904480466,28.978898506233698
2022-12-14 08:09:14,-27.296349754328627,-54.733341381782594,-13.961874822723757,19.813670868787696,3.2530080970032054
2022-12-14 04:40:02,-61.541320971511304,-62.09191526404625,-48.69337915381337,5.454057191005005,1.0004267211077535
2022-12-14 19:09:43,-45.42690116653881,-45.980707050448274,-21.04186584758338,5.572867551306126,1.4496385248267252
2022-12-14 23:43:30,-37.19903415725611,-44.929922486338285,-13.961874822723757,10.599397647038291,10.819093508734401
2022-12-14 05:57:11,-61.52538327777238,-62.08249043783127,-48.9370675540067,5.453123537180316,0.9969998102760482
2022-12-14 07:38:50,-60.80741976784531,-61.43592621939518,-46.64162221645605,5.469786845308531,1.0050186929521838
2022-12-14 11:52:13,-23.178872118116153,-51.48378379692967,-13.961874822723757,20.706590458510206,1.6323266243082015
2022-12-14 17:56:13,-43.77441100281935,-45.30330135171468,-16.526140401600177,8.5457938266872,26.25900797982416
2022-12-14 17:02:33,-61.530178346205,-62.09316178164515,-48.88942891503042,5.4666481523907064,1.002655725463212
2022-12-14 18:42:53,-41.79372100807079,-42.345223938353485,-14.769809841086714,5.575869857734073,1.2639003855177766
