timestamp,average,median,max,std,kurtosis
2022-08-03 13:52:00,-37.60090475967132,-38.5734520779829,-13.963996955460694,6.099237883231886,24.653624043432085
2022-10-01 14:05:20,-40.560942738910164,-41.569401059959176,-19.56227978243406,5.939638925501128,5.462942098824945
2022-10-12 21:20:20,-41.46092889042886,-42.38869388952025,-13.961874822723757,5.865804201774867,93.04440152042541
2022-07-16 20:43:50,-37.98319756367086,-38.88734924265971,-14.767359910787421,6.024458859395588,7.460918784859858
2022-08-31 23:13:50,-41.94988352292999,-42.806154876478246,-19.1012388200051,5.825521164191881,4.407710046591549
2022-07-21 03:47:10,-38.938965551513654,-39.85980832385049,-17.18055943648661,6.059931801431222,1.505512935350664
2022-09-30 19:25:20,-41.42690818294774,-42.31600792281961,-14.095415011997119,5.8467863876171045,42.306589026111105
2022-07-21 20:42:10,-37.81575558814902,-38.80923077815021,-14.017048777578879,6.273265495921462,17.552324567287034
2022-09-06 18:27:10,-40.971431115155504,-41.835222374987225,-13.961874822723757,5.817463299000273,78.83084513347053
2022-09-26 02:35:50,-41.43325167298383,-42.3007849075894,-20.29808633889589,5.834898435417183,3.8186912044732324
2022-10-03 02:27:00,-41.248031844938744,-42.226042454910996,-14.017359748752616,5.9153707818895365,45.39623071826815
2022-10-08 18:33:40,-41.23900436961833,-42.182349425411054,-14.920050307007763,5.881154146169178,28.989973253078993
2022-09-19 08:14:10,-40.584985421235594,-41.38835584336583,-24.529590101342986,5.807539355757492,2.510495431828483
2022-07-11 14:38:40,-37.850423604390826,-38.85605458940917,-16.261815514645072,6.062187580898613,3.1614599383720305
2022-09-23 02:27:30,-39.59728038828477,-40.354250052387584,-16.651264402136473,5.760759499440801,7.978222828914726
2022-10-04 09:10:20,-40.96587653698286,-41.938908514598154,-20.70225992758127,5.924578477534955,4.901120768043196
2022-09-16 03:02:30,-40.81655806360465,-41.597142344486365,-18.023754786107705,5.780648315290733,2.222052802198694
2022-09-26 12:19:10,-40.52355288373474,-41.44239786187435,-23.629132685185226,5.896319332213899,4.213172801865409
2022-07-20 16:07:10,-37.91892301565379,-38.99975811286383,-13.961874822723757,6.252255636015152,19.128920241754965
2022-07-24 00:37:10,-38.386964913047365,-39.35095264753624,-13.963996955460694,6.126129864131829,14.328325476950447
2022-08-03 08:37:00,-37.974981618543126,-38.97907429630469,-21.630870447577376,6.175378244824066,1.4560912155419796
2022-09-17 03:32:30,-40.73906293346782,-41.53103496461205,-13.961874822723757,5.7807627515052955,45.33541711861862
2022-10-10 15:17:00,-40.530412188267974,-41.46972383493672,-14.20859736436059,5.882021509356417,14.187865312470308
2022-08-04 05:25:20,-38.14096407745481,-39.17632238027008,-20.96895027009203,6.202253956837434,1.8085405957758782
2022-09-25 02:17:30,-41.45099044497449,-42.303496175281495,-24.085927690798425,5.820841032683229,3.426003589209536
2022-07-03 23:28:40,-40.64009829482817,-41.99681860043438,-17.10419278066008,6.176945727567632,10.211359743741287
2022-09-28 22:30:20,-41.11455777029336,-42.05632087888627,-22.309268781805795,5.917261393563779,3.2869377932005657
2022-07-11 11:43:40,-37.53617540871942,-38.69375791718432,-18.829703155159677,6.1764755149134505,5.263939653101836
2022-10-06 03:33:40,-41.237756306846634,-42.12682162124779,-16.653786780545605,5.857132230994896,5.003429929144534
2022-09-23 16:27:30,-40.25711208996146,-41.059532094639536,-14.246036454135737,5.786524100116744,14.115779087120494
2022-07-05 16:07:00,-39.30370362129874,-40.752857338907816,-13.96412958874518,6.277197495902714,15.377649034586444
